Cod_INEtxt;Cod_iNEok;Mun;F2018Total;SuperfKm2;NOMBRE_ACT;Mun_NomCod;F2018Dens;Var91_18aa;Var91_18;Envejecimi;Bebes;Altitud;Pob18;Evo18;Envj18;Bebes18;M174_18;Pendiente;Alt3;Pend;M174_2018;Alt_0;Pend_0;M174_18_4;Cod_Prov;Envej18_2;Env2;Dif_env;M174_3;Dif_M174;M174_3_4;Dif_4;SSPA
44038;44038;44038-Belmonte de San Jos├®;113,00000000000;33,96232400000;Belmonte de San Jos├®;44038;3,32721635893;-1,54390821312;-34,30232558140;637,50000000000;2,65486725664;656,00000000000;3;3;3;2;13;15,85000000000;2;2;15;2;2;4;44;3;637,50000000000;0;15;0;4;0;1
44039;44039;44039-Bello;225,00000000000;52,48694200000;Bello;44039;4,28678051009;-2,72192464664;-52,53164556960;900,00000000000;0,44444444444;1004,00000000000;3;3;3;3;15;2,71000000000;3;1;16;3;1;4;44;3;900,00000000000;0;16;0;4;0;1
44040;44040;44040-Berge;244,00000000000;42,63725500000;Berge;44040;5,72269485923;-0,23495837569;-6,15384615385;187,87878787900;4,09836065574;718,00000000000;3;2;3;1;11;19,09000000000;2;2;13;2;2;3;44;2;187,87878787900;0;12;-1;2;-1;1
42085;42085;42085-Fuentearmegil;181,00000000000;60,53950600000;Fuentearmegil;42085;2,98978323345;-3,17889716684;-58,19861431870;0,00000000000;0,00000000000;989,00000000000;3;3;3;3;14;5,18000000000;2;1;15;2;1;4;42;3;9900,00000000000;0;15;0;4;0;1
42086;42086;42086-Fuentecambr├│n;36,00000000000;48,63850600000;Fuentecambr├│n;42086;0,74015431313;-3,25624130569;-59,09090909090;1100,00000000000;0,00000000000;1023,00000000000;3;3;3;3;15;6,93000000000;3;1;16;3;1;4;42;3;1100,00000000000;0;16;0;4;0;1
42135;42135;42135-Oncala;70,00000000000;39,92194800000;Oncala;42135;1,75342145128;-2,37629065377;-47,76119402990;3400,00000000000;0,00000000000;1292,00000000000;3;3;3;3;15;20,34000000000;3;3;18;3;3;4;42;3;3400,00000000000;0;18;0;4;0;1
16116;16116;16116-Lagunaseca;65,00000000000;34,33710000000;Lagunaseca;16116;1,89299620527;-1,72569059013;-37,50000000000;0,00000000000;0,00000000000;1362,00000000000;3;3;3;3;15;16,10000000000;3;2;17;3;2;4;16;3;3500,00000000000;0;17;0;4;0;1
16119;16119;16119-Leganiel;189,00000000000;45,10250700000;Leganiel;16119;4,19045442419;-1,58572345689;-35,05154639180;688,88888888900;3,17460317460;752,00000000000;3;3;3;2;13;7,41000000000;2;1;14;2;1;3;16;3;688,88888888900;0;14;0;3;0;1
16121;16121;16121-Majadas, Las;251,00000000000;88,33440000000;Las Majadas;16121;2,84147512181;-1,76534388346;-38,17733990150;877,77777777800;0,00000000000;1390,00000000000;3;3;2;3;14;15,89000000000;3;2;16;3;2;4;16;3;877,77777777800;-1;17;1;4;0;1
16122;16122;16122-Mariana;293,00000000000;39,97260000000;Mariana;16122;7,33002106443;-0,12421980729;-3,30033003300;232,35294117600;4,77815699659;961,00000000000;3;2;2;1;10;11,81000000000;2;1;11;2;1;2;16;2;232,35294117600;0;11;0;2;0;1
